Type,Valeur
Seuil de d�tection,35.0
Dur�e totale (secondes),449.5
Nombre de cuts,143
Fr�quence (cuts/minute),19.09
Temps moyen entre cuts (secondes),3.1
Temps minimum entre cuts (secondes),0.9
Temps maximum entre cuts (secondes),30.2
url,https://www.youtube.com/watch?v=S6DJvMibrOc

Liste des cuts
Num�ro,Timestamp
1,2.3
2,4.8
3,6.0
4,9.5
5,11.4
6,12.3
7,16.2
8,18.5
9,23.1
10,32.2
11,35.3
12,37.0
13,41.2
14,46.9
15,48.4
16,50.3
17,53.9
18,55.5
19,63.6
20,65.2
21,68.1
22,71.0
23,73.8
24,76.8
25,78.5
26,80.6
27,83.4
28,89.9
29,91.7
30,121.8
31,124.2
32,133.2
33,135.7
34,139.4
35,140.8
36,144.7
37,148.9
38,149.9
39,152.8
40,155.2
41,157.0
42,159.0
43,164.9
44,168.6
45,170.2
46,171.8
47,177.2
48,178.7
49,181.3
50,182.4
51,184.0
52,187.4
53,190.2
54,193.6
55,194.7
56,196.7
57,199.1
58,200.9
59,202.7
60,204.1
61,206.9
62,211.6
63,217.0
64,218.4
65,236.2
66,237.5
67,238.7
68,240.8
69,242.1
70,249.4
71,251.9
72,253.1
73,259.3
74,261.5
75,263.4
76,267.4
77,270.9
78,273.9
79,274.8
80,279.7
81,285.0
82,286.2
83,288.2
84,291.7
85,293.3
86,294.8
87,295.7
88,298.9
89,300.5
90,302.6
91,305.2
92,309.2
93,311.6
94,312.7
95,315.8
96,317.8
97,320.6
98,327.4
99,330.1
100,332.8
101,335.8
102,338.3
103,339.9
104,340.7
105,343.5
106,346.4
107,347.9
108,349.6
109,353.7
110,354.9
111,356.2
112,360.3
113,361.4
114,363.4
115,367.4
116,369.4
117,371.3
118,374.4
119,378.4
120,380.1
121,381.7
122,384.0
123,386.9
124,388.6
125,391.5
126,392.5
127,394.5
128,396.6
129,399.7
130,402.5
131,407.9
132,417.1
133,420.2
134,421.8
135,422.8
136,424.4
137,428.7
138,431.9
139,434.6
140,438.8
141,441.1
142,444.5
143,446.4
