Type,Valeur
Seuil de d�tection,35.0
Dur�e totale (secondes),280.2
Nombre de cuts,98
Fr�quence (cuts/minute),20.98
Temps moyen entre cuts (secondes),2.8
Temps minimum entre cuts (secondes),1.2
Temps maximum entre cuts (secondes),5.5
url,https://www.youtube.com/watch?v=RvgnuPL9x-s

Liste des cuts
Num�ro,Timestamp
1,1.3
2,6.0
3,10.7
4,13.2
5,15.8
6,19.5
7,23.1
8,26.9
9,30.0
10,31.2
11,34.7
12,36.8
13,38.9
14,42.5
15,44.6
16,46.9
17,52.0
18,56.2
19,59.4
20,61.4
21,63.4
22,65.7
23,68.3
24,69.6
25,73.1
26,75.2
27,79.0
28,80.8
29,82.9
30,85.4
31,90.3
32,94.6
33,97.7
34,99.8
35,101.8
36,104.0
37,106.7
38,107.9
39,111.5
40,113.2
41,116.9
42,119.2
43,121.5
44,123.7
45,128.7
46,133.0
47,136.2
48,138.2
49,140.3
50,142.5
51,145.1
52,146.4
53,149.9
54,151.9
55,155.7
56,157.7
57,159.7
58,162.1
59,167.2
60,171.4
61,174.5
62,176.6
63,178.7
64,180.8
65,183.6
66,184.8
67,188.3
68,190.4
69,192.6
70,196.0
71,198.1
72,200.1
73,205.6
74,209.8
75,213.0
76,215.0
77,217.1
78,219.3
79,222.0
80,223.2
81,226.7
82,228.7
83,232.4
84,234.5
85,236.7
86,238.5
87,241.2
88,243.8
89,246.2
90,250.0
91,253.6
92,257.4
93,260.6
94,264.6
95,266.8
96,268.9
97,273.3
98,276.7
