Type,Valeur
Seuil de détection,40.0
Durée totale (secondes),650.7
Nombre de cuts,282
Fréquence (cuts/minute),26.00
Temps moyen entre cuts (secondes),2.3
Temps minimum entre cuts (secondes),0.8
Temps maximum entre cuts (secondes),36.3

Liste des cuts
Numéro,Timestamp
1,2.4
2,4.7
3,5.5
4,6.4
5,7.4
6,9.0
7,10.5
8,11.6
9,16.2
10,17.8
11,19.2
12,20.2
13,21.2
14,22.1
15,25.0
16,27.3
17,29.2
18,31.1
19,34.9
20,35.8
21,72.0
22,73.6
23,80.0
24,83.0
25,85.3
26,87.2
27,94.7
28,96.1
29,98.3
30,99.6
31,101.4
32,103.0
33,104.1
34,105.6
35,106.7
36,107.8
37,108.7
38,109.6
39,112.2
40,113.8
41,114.7
42,115.6
43,118.1
44,119.4
45,121.2
46,122.2
47,123.3
48,125.0
49,126.0
50,128.6
51,129.5
52,131.2
53,132.3
54,134.6
55,135.6
56,137.1
57,138.2
58,140.3
59,143.0
60,144.6
61,146.7
62,148.7
63,151.1
64,153.4
65,155.1
66,164.1
67,165.8
68,167.5
69,168.9
70,170.3
71,171.2
72,172.0
73,173.6
74,178.5
75,179.3
76,180.6
77,181.4
78,183.2
79,187.0
80,188.6
81,192.4
82,193.5
83,194.7
84,196.8
85,197.9
86,210.8
87,213.8
88,215.2
89,216.4
90,218.7
91,220.8
92,223.6
93,224.8
94,228.7
95,229.6
96,230.4
97,232.2
98,233.4
99,234.6
100,235.8
101,237.5
102,239.5
103,245.0
104,256.3
105,258.7
106,260.3
107,262.3
108,267.1
109,271.6
110,276.7
111,282.4
112,287.7
113,289.0
114,290.8
115,294.5
116,296.3
117,298.6
118,299.9
119,302.4
120,304.5
121,306.9
122,312.9
123,318.2
124,319.8
125,324.3
126,327.2
127,329.8
128,331.9
129,334.2
130,336.5
131,337.6
132,339.2
133,340.1
134,341.1
135,342.6
136,343.7
137,345.5
138,347.9
139,348.9
140,350.1
141,354.5
142,355.8
143,356.7
144,357.8
145,361.7
146,362.8
147,364.2
148,365.4
149,368.0
150,369.0
151,370.2
152,371.3
153,373.2
154,374.0
155,374.9
156,379.0
157,381.9
158,382.8
159,383.8
160,384.7
161,392.1
162,396.0
163,397.0
164,397.9
165,398.7
166,400.2
167,405.2
168,411.6
169,414.8
170,416.4
171,419.2
172,422.8
173,423.9
174,426.5
175,428.3
176,430.8
177,431.7
178,432.6
179,434.6
180,437.2
181,438.2
182,441.3
183,442.5
184,443.4
185,444.3
186,445.6
187,446.6
188,450.7
189,452.8
190,454.4
191,455.8
192,461.3
193,462.3
194,463.7
195,465.5
196,466.3
197,477.5
198,479.3
199,483.7
200,484.6
201,485.9
202,490.3
203,491.4
204,494.0
205,498.7
206,500.2
207,504.2
208,505.5
209,511.5
210,513.1
211,514.4
212,515.6
213,517.3
214,518.7
215,520.2
216,522.7
217,525.9
218,526.8
219,529.8
220,531.4
221,538.1
222,540.5
223,543.4
224,544.8
225,547.2
226,549.5
227,551.1
228,552.8
229,554.9
230,556.0
231,557.2
232,558.7
233,560.0
234,561.0
235,563.3
236,564.5
237,569.0
238,573.0
239,573.8
240,575.4
241,576.6
242,577.4
243,578.7
244,580.2
245,581.7
246,582.6
247,583.6
248,586.3
249,587.7
250,588.6
251,590.5
252,592.1
253,593.4
254,595.3
255,597.2
256,598.7
257,600.4
258,601.8
259,603.9
260,605.5
261,607.5
262,608.6
263,610.0
264,610.9
265,613.0
266,615.1
267,616.8
268,617.8
269,619.2
270,623.3
271,624.3
272,625.6
273,626.4
274,628.3
275,630.6
276,631.6
277,633.1
278,634.0
279,635.2
280,642.3
281,644.2
282,648.4
