Type,Valeur
Seuil de d�tection,35.0
Dur�e totale (secondes),423.4
Nombre de cuts,147
Fr�quence (cuts/minute),20.83
Temps moyen entre cuts (secondes),2.8
Temps minimum entre cuts (secondes),1.3
Temps maximum entre cuts (secondes),5.8
url,https://www.youtube.com/watch?v=j86yN2bOiBQ

Liste des cuts
Num�ro,Timestamp
1,0.8
2,4.7
3,6.3
4,8.3
5,12.4
6,15.7
7,17.9
8,23.2
9,25.1
10,27.9
11,30.5
12,32.1
13,34.6
14,37.0
15,38.3
16,41.8
17,46.6
18,48.7
19,51.5
20,56.2
21,59.0
22,63.2
23,64.7
24,68.2
25,70.8
26,74.0
27,75.6
28,78.2
29,80.4
30,84.9
31,86.7
32,89.8
33,92.1
34,94.7
35,99.3
36,103.6
37,107.6
38,110.8
39,113.7
40,116.4
41,120.1
42,123.4
43,125.9
44,128.0
45,132.8
46,134.8
47,137.6
48,142.2
49,144.6
50,146.7
51,149.8
52,151.7
53,154.3
54,157.1
55,159.4
56,162.3
57,164.9
58,166.9
59,171.0
60,173.1
61,175.6
62,181.5
63,183.6
64,188.1
65,192.8
66,195.6
67,200.1
68,202.3
69,204.8
70,209.6
71,211.9
72,214.4
73,216.4
74,219.2
75,221.8
76,223.9
77,226.4
78,229.1
79,231.4
80,236.0
81,238.4
82,241.0
83,243.4
84,245.5
85,248.0
86,250.0
87,252.8
88,255.0
89,257.6
90,259.5
91,262.4
92,264.9
93,267.1
94,269.5
95,272.2
96,274.5
97,279.2
98,281.6
99,284.2
100,288.7
101,291.2
102,296.0
103,298.2
104,300.8
105,302.8
106,305.5
107,308.2
108,310.3
109,312.8
110,315.4
111,317.7
112,322.4
113,324.8
114,327.5
115,331.9
116,334.4
117,336.4
118,339.1
119,341.4
120,343.9
121,345.9
122,348.6
123,351.2
124,353.3
125,355.8
126,358.5
127,360.8
128,365.5
129,367.8
130,370.5
131,372.8
132,375.0
133,377.6
134,379.5
135,382.3
136,384.8
137,387.2
138,389.2
139,392.0
140,394.6
141,396.7
142,399.2
143,401.5
144,404.2
145,408.8
146,410.9
147,413.8
